Adm2_Name_ZH,Location_ID
七台河市,101051001
万宁市,101310215
三亚市,101310201
三明市,101230801
三沙市,101310301
三门峡市,101181701
上海市,101020100
上饶市,101240301
东方市,101310202
东莞市,101281601
东营市,101121201
中卫市,101170501
中山市,101281701
临夏回族自治州,101161101
临汾市,101100701
临沂市,101120901
临沧市,101291101
临高县,101310203
丹东市,101070601
丽水市,101210801
丽江市,101291401
乌兰察布市,101080401
乌海市,101080301
乌鲁木齐市,101130101
乐东黎族自治县,101310221
乐山市,101271401
九江市,101240201
云林县,2897F
云浮市,101281401
五家渠市,101131801
五指山市,101310222
亳州市,101220901
仙桃市,101201601
伊春市,101050801
伊犁哈萨克自治州,101131001
佛山市,101280800
佳木斯市,101050401
保亭黎族苗族自治县,101310214
保定市,101090201
保山市,101290501
信阳市,101180601
儋州市,101310205
克孜勒苏柯尔克孜自治州,101131501
克拉玛依市,101130201
六安市,101221501
六盘水市,101260801
兰州市,101160101
兴安盟,101081101
内江市,101271201
凉山彝族自治州,101271601
包头市,101080201
北京市,101010100
北屯市,101132101
北海市,101301301
十堰市,101201101
南京市,101190101
南充市,101270501
南宁市,101300101
南平市,101230901
南投县,101340404
南昌市,101240101
南通市,101190501
南阳市,101180701
博尔塔拉蒙古自治州,101131601
厦门市,101230201
双河市,101132201
双鸭山市,101051301
可克达拉市,101132301
台东县,101340204
台中市,101340401
台北市,101340101
台南市,101340203
台州市,101210601
合肥市,101220101
吉安市,101240601
吉林市,101060201
吐鲁番市,101130501
吕梁市,101101100
吴忠市,101170301
周口市,101181401
呼伦贝尔市,101081001
呼和浩特市,101080101
和田地区,101131301
咸宁市,101200701
咸阳市,101110200
哈密市,101131201
哈尔滨市,101050101
唐山市,101090501
商丘市,101181001
商洛市,101110601
喀什地区,101130901
嘉义县,1851B
嘉义市,101340202
嘉兴市,101210301
嘉峪关市,101161401
四平市,101060401
固原市,101170401
图木舒克市,101131701
基隆市,2CA40
塔城地区,101131101
大兴安岭地区,101050701
大同市,101100201
大庆市,101050901
大理白族自治州,101290201
大连市,101070201
天水市,101160901
天津市,101030100
天门市,101201501
太原市,101100101
威海市,101121301
娄底市,101250801
孝感市,101200401
宁德市,101230301
宁波市,101210401
安庆市,101220601
安康市,101110701
安阳市,101180201
安顺市,101260301
定安县,101310209
定西市,101160201
宜兰县,101231001
宜宾市,101271101
宜昌市,101200901
宜春市,101240501
宝鸡市,101110901
宣城市,101221401
宿州市,101220701
宿迁市,101191301
屏东县,101340205
屯昌县,101310210
山南市,101140301
岳阳市,101251001
崇左市,101300201
巴中市,101270901
巴彦淖尔市,101080801
巴音郭楞蒙古自治州,101130601
常州市,101191101
常德市,101250601
平凉市,101160301
平顶山市,101180501
广元市,101272101
广安市,101270801
广州市,101280101
庆阳市,101160401
廊坊市,101090601
延安市,101110300
延边朝鲜族自治州,101060301
开封市,101180801
张家口市,101090301
张家界市,101251101
张掖市,101160701
彰化县,101340403
徐州市,101190801
德宏傣族景颇族自治州,101291501
德州市,101120401
德阳市,101272001
忻州市,101101001
怀化市,101251201
怒江傈僳族自治州,101291201
恩施土家族苗族自治州,101201001
惠州市,101280301
成都市,101270101
扬州市,101190601
承德市,101090401
抚州市,101240401
抚顺市,101070401
拉萨市,101140101
揭阳市,101281901
攀枝花市,101270201
文山壮族苗族自治州,101290601
文昌市,101310212
新乡市,101180301
新余市,101241001
新北市,1353E
新星市,101132501
新竹县,198CA
新竹市,101340103
无锡市,101190201
日喀则市,101140201
日照市,101121501
昆明市,101290101
昆玉市,101131920
昌吉回族自治州,101130401
昌江黎族自治县,101310206
昌都市,101140501
昭通市,101291001
晋中市,101100401
晋城市,101100601
普洱市,101290901
景德镇市,101240801
曲靖市,101290401
朔州市,101100901
朝阳市,101071201
本溪市,101070501
来宾市,101300401
杭州市,101210101
松原市,101060801
林芝市,101140401
果洛藏族自治州,101150501
枣庄市,101121401
柳州市,101300301
株洲市,101250301
桂林市,101300501
桃园市,101340102
梅州市,101280401
梧州市,101300601
楚雄彝族自治州,101290801
榆林市,101110401
武威市,101160501
武汉市,101200101
毕节市,101260701
永州市,101251401
汉中市,101110801
汕头市,101280501
汕尾市,101282101
江门市,101281101
池州市,101221701
沈阳市,101070101
沧州市,101090701
河池市,101301201
河源市,101281201
泉州市,101230501
泰安市,101120801
泰州市,101191201
泸州市,101271001
洛阳市,101180901
济南市,101120101
济宁市,101120701
济源市,101181801
海东市,101150201
海北藏族自治州,101150801
海南藏族自治州,101150401
海口市,101310101
海西蒙古族藏族自治州,101150701
淄博市,101120301
淮北市,101221201
淮南市,101220401
淮安市,101190901
深圳市,101280601
清远市,101281301
温州市,101210701
渭南市,101110501
湖州市,101210201
湘潭市,101250201
湘西土家族苗族自治州,101251501
湛江市,101281001
滁州市,101221101
滨州市,101121101
漯河市,101181501
漳州市,101230601
潍坊市,101120601
潜江市,101201701
潮州市,101281501
澄迈县,101310204
澎湖县,753A2
澳门特别行政区,101330101
濮阳市,101181301
烟台市,101120501
焦作市,101181101
牡丹江市,101050301
玉林市,101300901
玉树藏族自治州,101150601
玉溪市,101290701
珠海市,101280701
琼中黎族苗族自治县,101310208
琼海市,101310211
甘南藏族自治州,101161201
甘孜藏族自治州,101271801
白城市,101060601
白山市,101060901
白杨市,101132601
白沙黎族自治县,101310207
白银市,101161301
百色市,101301001
益阳市,101250700
盐城市,101190701
盘锦市,101071301
眉山市,101271501
石嘴山市,101170201
石家庄市,101090101
石河子市,101130301
神农架林区,101201201
福州市,101230101
秦皇岛市,101091101
红河哈尼族彝族自治州,101290301
绍兴市,101210501
绥化市,101050501
绵阳市,101270401
聊城市,101121701
肇庆市,101280901
胡杨河市,101132401
自贡市,101270301
舟山市,101211101
芜湖市,101220301
花莲县,101340405
苏州市,101190401
苗栗县,101340402
茂名市,101282001
荆州市,101200801
荆门市,101201401
莆田市,101230401
菏泽市,101121001
萍乡市,101240901
营口市,101070801
葫芦岛市,101071401
蚌埠市,101220201
衡水市,101090801
衡阳市,101250401
衢州市,101211001
襄阳市,101200201
西双版纳傣族自治州,101291601
西宁市,101150101
西安市,101110101
许昌市,101180401
贵港市,101300801
贵阳市,101260101
贺州市,101300701
资阳市,101271301
赣州市,101240701
赤峰市,101080601
辽源市,101060701
辽阳市,101071001
达州市,101270601
运城市,101100801
连云港市,101191001
迪庆藏族自治州,101291301
通化市,101060501
通辽市,101080501
遂宁市,101270701
遵义市,101260201
邢台市,101090901
那曲市,101140601
邯郸市,101091001
邵阳市,101250901
郑州市,101180101
郴州市,101250501
鄂尔多斯市,101080701
鄂州市,101200301
酒泉市,101160801
重庆市,101040100
金华市,101210901
金昌市,101160601
钦州市,101301101
铁岭市,101071101
铁门关市,101131901
铜仁市,101260601
铜川市,101111001
铜陵市,101221301
银川市,101170101
锡林郭勒盟,101080901
锦州市,101070701
镇江市,101190301
长春市,101060101
长沙市,101250101
长治市,101100501
阜新市,101070901
阜阳市,101220801
防城港市,101301401
阳江市,101281801
阳泉市,101100301
阿克苏地区,101130801
阿勒泰地区,101131401
阿坝藏族羌族自治州,101271901
阿拉善盟,101081201
阿拉尔市,101130701
阿里地区,101140701
陇南市,101161001
陵水黎族自治县,101310216
随州市,101201301
雄安新区,101091201
雅安市,101271701
青岛市,101120201
鞍山市,101070301
韶关市,101280201
香港特别行政区,101320101
马鞍山市,101220501
驻马店市,101181601
高雄市,101340201
鸡西市,101051101
鹤壁市,101181201
鹤岗市,101051201
鹰潭市,101241101
黄冈市,101200501
黄南藏族自治州,101150301
黄山市,101221001
黄石市,101200601
黑河市,101050601
黔东南苗族侗族自治州,101260501
黔南布依族苗族自治州,101260401
黔西南布依族苗族自治州,101260901
齐齐哈尔市,101050201
龙岩市,101230701
